,Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
63,Datura wrightii,"Common Names: Sacred Datura, Sacred Thorn-apple, Sacred Thornapple",Perennial herb,1 - 5 ft tall6 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)']","3.0"" - 63.5""","0.14"" - 3.08""","Part Shade, Full Sun",Low,Adaptable but prefers coarse well drained soil," 34.5"" - 63.3"""," 61.2"" - 89.1""",,"0.68"" - 40.59""","-94"" - 6907""","Groundcovers, Deer Resistant","Purple,  White",Moderately Easy,12899,https://inaturalist-open-data.s3.amazonaws.com/photos/52166893/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Datura-wrightii-(Toluaca)?srchcr=sc61b191e9dcb54"
64,Salix lasiolepis,Botanical Names: Salix lasiolepis var. bigeloviiCommon Names: Arroyo Uillou,"Tree, Shrub",7 - 35 ft tall15 ft wide,,"3.2"" - 151.0""","0.14"" - 5.63""",Full Sun,Moderate - High,Tolerates a variety of soils as long as adequate drainage is provided. Soil PH: 5.0 - 8.0," 19.2"" - 57.0"""," 41.2"" - 83.5""",Tolerates cold to -15° F,"0.10"" - 35.42""","-714"" - 12704""","Bogs and Ponds, Hedges, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Yellow",Very Easy,6268,https://inaturalist-open-data.s3.amazonaws.com/photos/16056750/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Salix-lasiolepis-(Arroyo-Willow)?srchcr=sc61b191e9dcb54"
65,Clarkia unguiculata,Common Names: Woodland Clarkia,Annual herb,3.3 ft tall3 in wide,,"8.1"" - 72.0""","0.13"" - 1.98""","Full Sun, Part Shade",Low,Adaptable. Soil PH: 6.0 - 8.0," 24.6"" - 55.5"""," 45.5"" - 79.8""",Tolerates cold to 10° F,"0.41"" - 27.82""","7"" - 11310""","Butterfly Gardens, Bee Gardens","Pink,  Red",Very Easy,4078,https://static.inaturalist.org/photos/119743405/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Clarkia-unguiculata-(Elegant-Clarkia)?srchcr=sc61b191e9dcb54"
66,Collinsia heterophylla,"Common Names: Harlequin Blue Eyed Mary, Innocence",Annual herb,0.33 - 1.6 ft tall4 in wide,,"4.9"" - 70.3""","0.14"" - 3.00""","Part Shade, Full Sun",Low,"Prefers rich, loamy soil. Soil PH: 5.0 - 6.0"," 24.6"" - 57.7"""," 45.5"" - 84.4""",Tolerates cold to 0° F,"0.39"" - 35.52""","-3814"" - 11310""","Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Purple",Very Easy,4215,https://inaturalist-open-data.s3.amazonaws.com/photos/852/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Collinsia-heterophylla-(Purple-Chinese-Houses)?srchcr=sc61b191e9dcb54"
67,Phacelia viscida,"Common Names: Tacky Phacelia, Tacky Scorpionweed",Annual herb,2.3 ft tall2.3 ft wide,,"5.3"" - 37.1""","0.14"" - 1.08""",Full Sun,Very Low,"Prefers rich, well drained soil"," 33.7"" - 56.3"""," 63.0"" - 85.0""",Tolerates cold to 20° F,"0.47"" - 36.22""","0"" - 5138""","Butterfly Gardens, Bee Gardens",Blue,Moderately Easy,373,https://inaturalist-open-data.s3.amazonaws.com/photos/31715592/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Phacelia-viscida-(Sticky-Phacelia)?srchcr=sc61b191e9dcb54"
68,Juglans californica,"Botanical Names: Juglans californica var. californicaCommon Names: Southern Black Walnut, Southern California Walnut",Tree,50 - 75 ft tall50 - 75 ft wide,,"5.8"" - 70.7""","0.16"" - 2.61""","Full Sun,  Part Shade",Moderate - High,Adaptable. Soil PH: 6 - 7," 38.0"" - 56.8"""," 62.9"" - 85.5""",Tolerates cold to 20 - 25° F,"0.09"" - 36.34""","-1"" - 6720""","Bank Stabilization, Deer Resistant, Bird Gardens",Yellow,,2352,https://inaturalist-open-data.s3.amazonaws.com/photos/7086/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Juglans-californica-(Southern-California-Black-Walnut)?srchcr=sc61b191e9dcb54"
69,Umbellularia californica,"Common Names: California Bay Tree, Oregon Myrtle",Tree,6 - 80 ft tall3 - 30 ft wide,,"10.0"" - 141.0""","0.14"" - 4.96""","Full Sun,  Part Shade",Low,Tolerates a variety of soils including clay and serpentine. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 24.6"" - 56.0"""," 45.5"" - 83.3""",Tolerates cold to 10° F,"0.01"" - 34.12""","3"" - 11310""","Bank Stabilization, Hedges, Deer Resistant","Yellow,  Cream,  White,  Green",Very Easy,11289,https://inaturalist-open-data.s3.amazonaws.com/photos/3066372/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Umbellularia-californica-(California-Laurel)?srchcr=sc61b191e9dcb54"
70,Ceanothus spinosus,"Common Names: Redheart, Spiny Ceanothus",Shrub,10 - 20 ft tall10 ft wide,,"7.5"" - 36.1""","0.14"" - 1.99""",Full Sun,Very Low,Tolerates a variety of soils. Soil PH: 6.0 - 7.0," 40.1"" - 56.1"""," 64.0"" - 83.5""",Tolerates cold to 5° F,"0.72"" - 33.74""","1"" - 6180""","Bank Stabilization, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  White",Moderately Easy,1003,https://inaturalist-open-data.s3.amazonaws.com/photos/37499/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Ceanothus-spinosus-(Greenbark-Ceanothus)?srchcr=sc61b191e9dcb54"
71,Lupinus hirsutissimus,Common Names: Stinging Annual Lupine,Annual Herb,0.7 - 3.3 ft tall1 ft wide,,"3.5"" - 46.1""","0.14"" - 2.34""",Full Sun,"Extremely Low, Very Low",Tolerates a variety of soils as long as adequate drainage is provided," 39.9"" - 59.4"""," 62.3"" - 88.1""",,"0.47"" - 39.05""","7"" - 6666""","Bird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Purple",,2298,https://inaturalist-open-data.s3.amazonaws.com/photos/8776941/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lupinus-hirsutissimus-(Stinging-Lupine)?srchcr=sc61b191e9dcb54"
72,Lilium humboldtii,Common Names: Humboldt Lily,Perennial herb,6 - 8 ft tall1 ft wide,,"10.5"" - 83.8""","0.15"" - 2.84""","Part Shade, Full Sun","Low, Moderate - High",Tolerates clay but prefers a well drained loam. Soil PH: 5.0 - 7.0," 26.3"" - 55.2"""," 54.1"" - 81.0""",,"0.43"" - 31.99""","-62"" - 7664""","Hummingbird Gardens, Butterfly Gardens","Brown,  Orange,  Purple,  Red,  Yellow",Moderately Easy,1703,https://inaturalist-open-data.s3.amazonaws.com/photos/13363/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lilium-humboldtii-(Humboldt\'s-Lily)?srchcr=sc61b191e9dcb54"
73,Isocoma menziesii,Botanical Names: Haplopappus venetusCommon Names: White-flowered Goldenbush,Shrub,1.6 - 3.3 ft tall5 ft wide,,"7.2"" - 46.5""","0.14"" - 1.65""","Part Shade, Full Sun",Low,Typically sandy. Soil PH: 6.0 - 7.5," 37.7"" - 57.3"""," 60.0"" - 83.4""",Tolerates cold to 0° F,"0.68"" - 34.96""","-30"" - 5181""","Groundcovers, Butterfly Gardens, Bee Gardens",Yellow,Very Easy,6990,https://inaturalist-open-data.s3.amazonaws.com/photos/53759750/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Isocoma-menziesii-(Menzies\'-Goldenbush)?srchcr=sc61b191e9dcb54"
74,Brickellia californica,"Common Names: California Brickelbush, California Brickellbush, California Brickellia",Perennial herb,1.6 - 7 ft tall2 - 7 ft wide,,"4.9"" - 84.6""","0.13"" - 3.53""","Part Shade, Full Sun",Very Low,"Tolerant of sandy or clay soil, often in rocky soil. Soil PH: 5.0 - 8.0"," 24.8"" - 57.2"""," 51.5"" - 83.1""",Tolerates cold to -15° F,"0.27"" - 34.66""","-146"" - 8729""",,"Cream,  White,  Yellow",,2827,https://inaturalist-open-data.s3.amazonaws.com/photos/45819088/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Brickellia-californica-(Brickell-Bush)?srchcr=sc61b191e9dcb54"
75,Lonicera subspicata,,Shrub,8 ft tall20 ft wide,,"8.3"" - 45.8""","0.14"" - 2.95""","Part Shade, Full Sun",Low,Tolerant of a variety of soils including clay and decomposed granite.. Soil PH: 6.0 - 7.5," 37.8"" - 56.5"""," 60.3"" - 81.1""",Tolerates cold to 5° F,"0.71"" - 29.91""","-18"" - 8079""","Bank Stabilization, Hedges, Groundcovers, Deer Resistant, Hummingbird Gardens, Bird Gardens","Cream,  Yellow",Moderately Easy,2939,https://inaturalist-open-data.s3.amazonaws.com/photos/56253200/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lonicera-subspicata-(Southern-Honeysuckle)?srchcr=sc61b191e9dcb54"
76,Castilleja exserta,Botanical Names: Orthocarpus purpurascensCommon Names: Exserted Indian Paintbrush,Annual Herb,1.5 ft tall1 ft wide,,"3.4"" - 68.1""","0.13"" - 2.98""",Full Sun,"Very Low, Low",Tolerant of sand and clay. Soil PH: 5.0 - 8.0," 24.6"" - 58.8"""," 45.5"" - 87.5""",Tolerates cold to 15° F,"0.19"" - 38.31""","-73"" - 11310""","Butterfly Gardens, Bee Gardens","Lavender,  Pink,  Purple",Moderately Easy,6765,https://static.inaturalist.org/photos/84994103/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Castilleja-exserta-(Purple-Owl\'s-Clover)?srchcr=sc61b191e9dcb54"
77,Paeonia californica,,Perennial herb,2.5 ft tall,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)']","9.4"" - 36.8""","0.15"" - 2.13""","Part Shade, Full Sun",Very Low,"Tolerates a variety of soils, including clay, coarse sand, decomposed granite, and serpentine. Tolerates Serpentine Soil. Soil PH: 6.0 - 8.0"," 35.2"" - 55.7"""," 62.4"" - 80.8""",Tolerates cold to -5° F,"0.47"" - 29.70""","23"" - 6768""",Deer Resistant,"Purple,  Red",,2229,https://inaturalist-open-data.s3.amazonaws.com/photos/8035407/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Paeonia-californica-(California-Peony)?srchcr=sc61b191e9dcb54"
78,Gilia capitata,"Common Names: Blue Field-gilia, Bluehead Gilia",Annual herb,0.33 - 3 ft tall,['USDA Zone 8b: to -9.4 °C (15 °F)'],"4.9"" - 151.1""","0.15"" - 5.63""",Full Sun,Very Low,Tolerates clay but does best in well-drained soil. Soil PH: 6.0 - 7.0," 26.8"" - 58.8"""," 45.7"" - 87.5""",Tolerates cold to -20° F,"0.01"" - 38.31""","-9"" - 11089""","Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Pink,  White",Moderately Easy,2829,https://inaturalist-open-data.s3.amazonaws.com/photos/12442/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Gilia-capitata-(Blue-Field-Gilia)?srchcr=sc61b191e9dcb54"
79,Malosma laurina,Botanical Names: Rhus laurina,Shrub,10 - 20 ft tall20 ft wide,,"2.7"" - 44.8""","0.14"" - 2.07""",Full Sun,Extremely Low,"Typically prefers well drained soil, sandy or rocky. Soil PH: 6.0 - 8.0"," 33.4"" - 58.3"""," 62.4"" - 88.4""",Tolerates cold to 35° F,"0.74"" - 38.92""","-180"" - 6508""","Bank Stabilization, Hedges, Bird Gardens","Cream,  White",Very Easy,11557,https://inaturalist-open-data.s3.amazonaws.com/photos/2121812/small.JPG,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Malosma-laurina-(Laurel-Sumac)?srchcr=sc61b191e9dcb54"
80,Layia platyglossa,"Common Names: Coastal Tidytips, Common Tidy-tips",Annual herb,0.5 - 2 ft tall.5 - 2 ft wide,,"5.0"" - 52.2""","0.14"" - 2.83""",Full Sun,Low,"Prefers clay or loamy soil, tolerates sandy soil. Soil PH: 5.0 - 8.0"," 39.4"" - 58.5"""," 55.6"" - 87.2""",Tolerates cold to -5° F,"0.29"" - 38.17""","-3424"" - 6112""",Butterfly Gardens,Yellow,Moderately Easy,3130,https://inaturalist-open-data.s3.amazonaws.com/photos/2826/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Layia-platyglossa-(Common-Tidy-Tips)?srchcr=sc61b191e9dcb54"
81,Calystegia macrostegia,"Common Names: Island False Bindweed, Island Morning-glory","Perennial herb, Shrub, Vine",1 ft tall20 - 30 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","3.7"" - 52.0""","0.14"" - 1.89""",Full Sun,Very Low,Typically sandy and/or rocky soil. Soil PH: 6.0 - 8.0," 34.9"" - 57.6"""," 58.2"" - 86.2""",Tolerates cold to 10° F,"0.60"" - 37.19""","-2547"" - 6450""","Groundcovers, Bee Gardens","Pink,  White",Very Easy,5558,https://inaturalist-open-data.s3.amazonaws.com/photos/3195315/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Calystegia-macrostegia-(Island-Morning-Glory)?srchcr=sc61b191e9dcb54"
82,Pinus monophylla,"Common Names: Single-leaf Pinyon Pine, Singleleaf Pinyon",Tree,20 - 65.6 ft tall35 ft wide,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)']","3.3"" - 58.2""","0.22"" - 4.47""","Full Sun,  Part Shade",Very Low,"Found in decomposed granite, sandstone and loamy clay. Soil PH: 6.0 - 8.0"," 19.2"" - 59.0"""," 41.2"" - 87.5""",Tolerates cold to -15° F,"1.27"" - 43.23""","-39"" - 12704""","Bank Stabilization, Hedges, Bird Gardens",Yellow,Moderately Easy,4061,https://inaturalist-open-data.s3.amazonaws.com/photos/12624/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Pinus-monophylla-(Oneneedle-Pinyon-Pine)?srchcr=sc61b191e9dcb54"
83,Lycium californicum,"Common Names: California Boxthorn, California Desert-thorn, California Wolfberry",Shrub,3 ft tall10 ft wide,,"7.9"" - 17.1""","0.15"" - 0.40""",Full Sun,"Low, Very Low",Typically very sandy but can also tolerate clay. Tolerates Saline Soil. Soil PH: 6.0 - 7.0," 52.1"" - 57.5"""," 62.7"" - 75.4""",Tolerates cold to 25° F,"1.36"" - 17.94""","-151"" - 1336""",Groundcovers,"White,  Purple,  Red",Moderately Easy,760,https://inaturalist-open-data.s3.amazonaws.com/photos/12535400/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lycium-californicum-(California-Box-Thorn)?srchcr=sc61b191e9dcb54"
84,Crocanthemum scoparium,"Botanical Names: Helianthemum scopariumCommon Names: Bisbee Peak Rushrose, Broom-rose, Common Sun-rose, Peak Rockrose, Peak Rush-rose",Shrub,1.5 ft tall1.5 ft wide,,"7.0"" - 66.9""","0.14"" - 2.67""",Full Sun,Very Low,Tolerates a variety of soils. Tolerates Serpentine Soil. Soil PH: 5.0 - 7.0," 33.5"" - 57.7"""," 58.6"" - 81.2""",Tolerates cold to 5° F,"0.01"" - 29.54""","-3814"" - 7419""",,Yellow,Moderately Easy,1666,https://inaturalist-open-data.s3.amazonaws.com/photos/11696/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Crocanthemum-scoparium-(Common-Sun-Rose)?srchcr=sc61b191e9dcb54"
85,Mirabilis laevis,"Botanical Names: Mirabilis californicaCommon Names: California Four O'clock, Wishbone Bush",Perennial herb,1 ft tall8 ft wide,,"2.9"" - 36.5""","0.14"" - 3.04""","Part Shade, Full Sun",Very Low,Variable soil depending on the location and setting. Soil PH: 5.0 - 8.0," 29.6"" - 63.6"""," 56.7"" - 88.8""",Tolerates cold to 25° F,"0.86"" - 42.79""","-100"" - 8177""",Groundcovers,"Lavender,  Purple,  White",Moderately Easy,7136,https://inaturalist-open-data.s3.amazonaws.com/photos/39221/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Mirabilis-laevis-(Desert-Wishbone-bush)?srchcr=sc61b191e9dcb54"
86,Pseudognaphalium californicum,"Botanical Names: Gnaphalium californicumCommon Names: California Everlasting, California Rabbit Tobacco, Green Everlasting, Ladies' Tobacco","Perennial herb, Annual herb",0.7 - 2.8 ft tall2 ft wide,,"4.1"" - 77.1""","0.14"" - 2.72""",Full Sun,"Very Low, Low,","Very tolerant of various soils including clay, shale, sand, etc.. Tolerates Saline Soil,Tolerates Serpentine Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 8.0"," 27.0"" - 59.5"""," 56.3"" - 87.8""",Tolerates cold to -15° F,"0.09"" - 38.67""","-253"" - 7620""","Butterfly Gardens, Bee Gardens","Cream,  White,  Green",Moderately Easy,6711,https://inaturalist-open-data.s3.amazonaws.com/photos/25474/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Pseudognaphalium-californicum-(California-Cudweed)?srchcr=sc61b191e9dcb54"
87,Hazardia squarrosa,"Common Names: Saw-toothed Goldenbush, Sawtooth Bristleweed",Shrub,4 - 8 ft tall8 ft wide,,"4.0"" - 74.1""","0.14"" - 2.82""","Full Sun,  Part Shade","Very Low, Low",Tolerates clay soil but is more commonly found on sandy soils. Soil PH: 6.0 - 8.0," 33.5"" - 56.8"""," 57.7"" - 87.2""",Tolerates cold to 5° F,"0.77"" - 38.18""","-30"" - 7419""",Bird Gardens,"Yellow,  Green",Very Easy,2346,https://inaturalist-open-data.s3.amazonaws.com/photos/5386878/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Hazardia-squarrosa-(Sawtooth-Goldenbush)?srchcr=sc61b191e9dcb54"
88,Clarkia bottae,"Common Names: Botta's Clarkia, Botta's Fairyfan, Punch-bowl Godetia, Punchbowl Godetia",Annual herb,3.3 ft tall.5 ft wide,,"7.6"" - 53.9""","0.14"" - 1.53""","Part Shade, Full Sun",Low,"Adaptable. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 6.0 - 8.0"," 35.2"" - 55.2"""," 58.4"" - 80.3""",Tolerates cold to -5° F,"0.77"" - 27.49""","13"" - 6109""","Butterfly Gardens, Bee Gardens","Pink,  Purple,  Lavender,  Red",,707,https://inaturalist-open-data.s3.amazonaws.com/photos/34602/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Clarkia-bottae-(Punch-Bowl-Godetia)?srchcr=sc61b191e9dcb54"
89,Phacelia parryi,Common Names: Parry's Scorpionweed,Annual herb,0.33 - 2.3 ft tall2.3 ft wide,,"3.3"" - 35.4""","0.15"" - 2.31""",Full Sun,"Extremely Low, Very Low","Typically sandy, gravelly or rocky. Soil PH: 6.0 - 8.0"," 39.8"" - 59.2"""," 66.5"" - 87.9""",Tolerates cold to 20° F,"1.14"" - 43.34""","-6"" - 6109""","Butterfly Gardens, Bee Gardens","Blue,  Purple",Moderately Easy,1650,https://inaturalist-open-data.s3.amazonaws.com/photos/11463/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Phacelia-parryi-(Parry\'s-Phacelia)?srchcr=sc61b191e9dcb54"
90,Solanum xanti,Common Names: Chaparral Nightshade,"Shrub, Perennial herb",2 - 4 ft tall2 - 4 ft wide,,"5.2"" - 117.2""","0.14"" - 3.15""","Full Sun,  Part Shade",Very Low,"Tolerates many soils, sandy, loamy or clay. Soil PH: 6.0 - 8.0"," 25.5"" - 56.4"""," 50.5"" - 80.6""",Tolerates cold to 5° F,"0.36"" - 29.63""","-3"" - 9752""","Deer Resistant, Bird Gardens","Blue,  Purple",Moderately Easy,3122,https://inaturalist-open-data.s3.amazonaws.com/photos/39223/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Solanum-xanti-(Purple-Nightshade)?srchcr=sc61b191e9dcb54"
91,Verbena lasiostachys,"Common Names: Common Verbena, Western Verbena, Western Vervain",Perennial herb,2.6 ft tall3 ft wide,,"5.7"" - 86.0""","0.14"" - 2.48""",Full Sun,Moderate - High,Tolerates a variety of soils including sand and clay as long as adequate moisture is present. Soil PH: 6.0 - 8.0," 26.0"" - 56.4"""," 51.0"" - 84.1""",Tolerates cold to -20° F,"0.09"" - 35.28""","-253"" - 8643""","Hummingbird Gardens, Bird Gardens, Bee Gardens","Blue,  Lavender,  Purple",moderately easy,2872,https://inaturalist-open-data.s3.amazonaws.com/photos/5355/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Verbena-lasiostachys-(Vervain)?srchcr=sc61b191e9dcb54"
92,Lupinus truncatus,"Common Names: Blunt-leaved Lupine, Truncate-leaf Lupine",Annual Herb,1 - 1.6 ft tall1 ft wide,,"4.9"" - 46.1""","0.14"" - 2.55""","Full Sun,  Part Shade",Very Low,Adaptable. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 40.1"" - 58.6"""," 58.8"" - 87.2""",Tolerates cold to 5° F,"0.47"" - 38.04""","-14"" - 6112""","Bird Gardens, Bee Gardens","Lavender,  Purple,  Pink",,1476,https://static.inaturalist.org/photos/3146756/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lupinus-truncatus-(Collared-Annual-Lupine)?srchcr=sc61b191e9dcb54"
93,Amorpha californica,,Shrub,10 ft tall6 ft wide,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","6.0"" - 68.9""","0.15"" - 2.89""",Part Shade,Very Low,Tolerates sand. Soil PH: 6.0 - 8.0," 32.5"" - 58.2"""," 59.0"" - 86.9""",Tolerates cold to 0° F,"0.43"" - 37.48""","9"" - 8222""","Hedges, Deer Resistant, Butterfly Gardens",Purple,,598,https://inaturalist-open-data.s3.amazonaws.com/photos/18747/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Amorpha-californica-(California-False-Indigo)?srchcr=sc61b191e9dcb54"
94,Juncus acutus,,"Grass, Shrub",5 ft tall5 ft wide,,"2.7"" - 36.4""","0.15"" - 1.38""",Full Sun,Moderate - High,"Tolerates almost any soil as long as adequate moisture is present. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 9.0"," 42.1"" - 60.1"""," 62.6"" - 88.8""",Tolerates cold to 25° F,"0.92"" - 40.20""","-142"" - 3968""","Bogs and Ponds, Groundcovers",Brown,Very Easy,2569,https://inaturalist-open-data.s3.amazonaws.com/photos/3013641/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Juncus-acutus-(Spiny-Rush)?srchcr=sc61b191e9dcb54"
95,Clematis lasiantha,Common Names: Pipestem Clematis,"Vine, Perennial herb",15 ft tall,,"7.6"" - 82.6""","0.15"" - 2.78""","Full Sun,  Part Shade,  Full Shade",Very Low,Tolerates a variety of soils including clay and sand. Soil PH: 5.4 - 7.2," 33.4"" - 55.2"""," 53.4"" - 80.4""",Tolerates cold to 15° F,"0.40"" - 28.76""","1"" - 10032""",Deer Resistant,"Cream,  White",Very Easy,2799,https://inaturalist-open-data.s3.amazonaws.com/photos/35793724/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Clematis-lasiantha-(Chaparral-Clematis)?srchcr=sc61b191e9dcb54"
96,Acmispon glaber,Botanical Names: Lotus scopariusCommon Names: Common Deerweed,Perennial herb,1.6 - 3 ft tall3 ft wide,,"3.6"" - 69.6""","0.14"" - 2.77""",Full Sun,Very Low,Tolerates a wide variety of soils. Soil PH: 5.2 - 8.2," 34.4"" - 59.1"""," 57.9"" - 88.0""",Tolerates cold to 15° F,"0.38"" - 38.93""","-18"" - 7469""","Bee Gardens, Butterfly Gardens",Yellow,,10635,https://inaturalist-open-data.s3.amazonaws.com/photos/5247/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Acmispon-glaber-(Deerweed)?srchcr=sc61b191e9dcb54"
97,Deinandra fasciculata,Botanical Names: Hemizonia fasciculata,Annual herb,3.3 ft tall2 ft wide,,"3.0"" - 34.5""","0.14"" - 1.89""",Full Sun,"Extremely Low, Very Low",Tolerates a variety of soils as long as drainage is good. Soil PH: 5.1 - 8.2," 39.6"" - 58.6"""," 62.0"" - 88.8""",Tolerates cold to 20° F,"0.74"" - 39.46""","-17"" - 6109""",Bee Gardens,Yellow,,3048,https://inaturalist-open-data.s3.amazonaws.com/photos/12786/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Deinandra-fasciculata-(Clustered-Tarweed)?srchcr=sc61b191e9dcb54"
98,Delphinium cardinale,,Perennial herb,3 - 6.6 ft tall1 - 2 ft wide,,"9.7"" - 44.9""","0.17"" - 2.33""","Full Sun,  Part Shade",Very Low,"Best in rocky or sandy soil, but will tolerate richer soils. Often found on chert or shale talus slopes. Soil PH: 5.0 - 8.0"," 39.6"" - 55.7"""," 64.5"" - 80.7""",Tolerates cold to 10° F,"0.88"" - 32.40""","40"" - 6188""","Hummingbird Gardens, Deer Resistant, Bird Gardens, Bee Gardens","Red,  Yellow",Moderately Easy,1059,https://inaturalist-open-data.s3.amazonaws.com/photos/3241670/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Delphinium-cardinale-(Scarlet-Larkspur)?srchcr=sc61b191e9dcb54"
