Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
Pseudognaphalium californicum,"Botanical Names: Gnaphalium californicumCommon Names: California Everlasting, California Rabbit Tobacco, Green Everlasting, Ladies' Tobacco","Perennial herb, Annual herb",0.7 - 2.8 ft tall2 ft wide,,"4.1"" - 77.1""","0.14"" - 2.72""",Full Sun,"Very Low, Low,","Very tolerant of various soils including clay, shale, sand, etc.. Tolerates Saline Soil,Tolerates Serpentine Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 8.0"," 27.0"" - 59.5"""," 56.3"" - 87.8""",Tolerates cold to -15° F,"0.09"" - 38.67""","-253"" - 7620""","Butterfly Gardens, Bee Gardens","Cream,  White,  Green",Moderately Easy,6698,https://inaturalist-open-data.s3.amazonaws.com/photos/25474/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Pseudognaphalium-californicum-(California-Cudweed)?srchcr=sc61ab02a473e1f"
Hazardia squarrosa,"Common Names: Saw-toothed Goldenbush, Sawtooth Bristleweed",Shrub,4 - 8 ft tall8 ft wide,,"4.0"" - 74.1""","0.14"" - 2.82""","Full Sun,  Part Shade","Very Low, Low",Tolerates clay soil but is more commonly found on sandy soils. Soil PH: 6.0 - 8.0," 33.5"" - 56.8"""," 57.7"" - 87.2""",Tolerates cold to 5° F,"0.77"" - 38.18""","-30"" - 7419""",Bird Gardens,"Yellow,  Green",Very Easy,2333,https://inaturalist-open-data.s3.amazonaws.com/photos/5386878/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Hazardia-squarrosa-(Sawtooth-Goldenbush)?srchcr=sc61ab02a473e1f"
Oenothera elata,Common Names: Hooker's Evening-primrose,Perennial herb,5 ft tall3 ft wide,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)']","4.8"" - 86.0""","0.15"" - 3.85""","Part Shade, Full Sun",Low,Tolerates virtually any soil. Soil PH: 4.0 - 7.0," 10.8"" - 56.3"""," 34.1"" - 84.0""",Tolerates cold to -20° F,"0.05"" - 34.80""","-22"" - 14090""",,"Yellow,  Orange",Very Easy,4977,https://inaturalist-open-data.s3.amazonaws.com/photos/77296891/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Oenothera-elata-(Hooker\'s-Evening-Primrose)?srchcr=sc61ab02a473e1f"
Salvia columbariae,Botanical Names: Salvia columbariae var. columbariaeCommon Names: Chia Sage,Annual herb,0.33 - 1.6 ft tall1 ft wide,,"2.4"" - 80.9""","0.14"" - 3.69""",Full Sun,"Extremely Low, Very Low","Prefers sandy, well drained soil but tolerates clay. Soil PH: 6.0 - 8.0"," 30.5"" - 61.4"""," 57.6"" - 90.2""",,"0.29"" - 48.21""","-253"" - 8103""","Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Purple",Moderately Easy,5956,https://inaturalist-open-data.s3.amazonaws.com/photos/5281/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salvia-columbariae-(Chia)?srchcr=sc61ab02a473e1f"
Rhus aromatica,"Botanical Names: Rhus trilobata,Rhus trilobata var. simplicifoliaCommon Names: Several Others, Skunkbrush, Skunkbush Sumac, Squawbush",Shrub,1.6 - 8 ft tall8 ft wide,,"4.5"" - 84.5""","0.15"" - 3.91""",Full Sun,Low,Prefers sandy soil. Soil PH: 6.0 - 8.0," 18.4"" - 56.7"""," 39.7"" - 83.7""",Tolerates cold to -15° F,"0.09"" - 36.82""","7"" - 10940""","Hedges, Deer Resistant, Bird Gardens","Cream,  Yellow",Moderately Easy,14275,https://inaturalist-open-data.s3.amazonaws.com/photos/96541/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Rhus-aromatica-(Fragrant-Sumac)?srchcr=sc61ab02a473e1f"
Verbena lasiostachys,"Common Names: Common Verbena, Western Verbena, Western Vervain",Perennial herb,2.6 ft tall3 ft wide,,"5.7"" - 86.0""","0.14"" - 2.48""",Full Sun,Moderate - High,Tolerates a variety of soils including sand and clay as long as adequate moisture is present. Soil PH: 6.0 - 8.0," 26.0"" - 56.4"""," 51.0"" - 84.1""",Tolerates cold to -20° F,"0.09"" - 35.28""","-253"" - 8643""","Hummingbird Gardens, Bird Gardens, Bee Gardens","Blue,  Lavender,  Purple",moderately easy,2871,https://inaturalist-open-data.s3.amazonaws.com/photos/5355/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Verbena-lasiostachys-(Vervain)?srchcr=sc61ab02a473e1f"
Claytonia perfoliata,"Botanical Names: Montia perfiolataCommon Names: Miners Lettuce, Minerslettuce",Annual herb,1 - 1.3 ft tall1 ft wide,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)']","5.6"" - 121.3""","0.15"" - 3.46""",Part Shade,"Low, Moderate - High",Tolerates a variety of soils as long as winter moisture is provided.," 30.6"" - 57.4"""," 53.9"" - 84.2""",,"0.01"" - 34.96""","-247"" - 7863""",Groundcovers,White,,15716,https://inaturalist-open-data.s3.amazonaws.com/photos/12032138/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Claytonia-perfoliata-(Miner\'s-Lettuce)?srchcr=sc61ab02a473e1f"
Lupinus truncatus,"Common Names: Blunt-leaved Lupine, Truncate-leaf Lupine",Annual Herb,1 - 1.6 ft tall1 ft wide,,"4.9"" - 46.1""","0.14"" - 2.55""","Full Sun,  Part Shade",Very Low,Adaptable. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 40.1"" - 58.6"""," 58.8"" - 87.2""",Tolerates cold to 5° F,"0.47"" - 38.04""","-14"" - 6112""","Bird Gardens, Bee Gardens","Lavender,  Purple,  Pink",,1474,https://static.inaturalist.org/photos/3146756/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lupinus-truncatus-(Collared-Annual-Lupine)?srchcr=sc61ab02a473e1f"
Amorpha californica,,Shrub,10 ft tall6 ft wide,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","6.0"" - 68.9""","0.15"" - 2.89""",Part Shade,Very Low,Tolerates sand. Soil PH: 6.0 - 8.0," 32.5"" - 58.2"""," 59.0"" - 86.9""",Tolerates cold to 0° F,"0.43"" - 37.48""","9"" - 8222""","Hedges, Deer Resistant, Butterfly Gardens",Purple,,598,https://inaturalist-open-data.s3.amazonaws.com/photos/18747/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Amorpha-californica-(California-False-Indigo)?srchcr=sc61ab02a473e1f"
Juncus acutus,,"Grass, Shrub",5 ft tall5 ft wide,,"2.7"" - 36.4""","0.15"" - 1.38""",Full Sun,Moderate - High,"Tolerates almost any soil as long as adequate moisture is present. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 9.0"," 42.1"" - 60.1"""," 62.6"" - 88.8""",Tolerates cold to 25° F,"0.92"" - 40.20""","-142"" - 3968""","Bogs and Ponds, Groundcovers",Brown,Very Easy,2556,https://inaturalist-open-data.s3.amazonaws.com/photos/3013641/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Juncus-acutus-(Spiny-Rush)?srchcr=sc61ab02a473e1f"
Calochortus splendens,,Perennial herb,2 ft tall6 in wide,,"4.4"" - 61.3""","0.15"" - 3.65""","Full Sun,  Part Shade",Very Low,"Found in sandy or clay soils near the coast, or gravelly soils inland"," 26.3"" - 61.4"""," 52.4"" - 88.8""",Tolerates cold to 10° F,"0.80"" - 42.82""","2"" - 10070""",,"Pink,  Purple,  Lavender,  Blue",Moderately Easy,2949,https://inaturalist-open-data.s3.amazonaws.com/photos/69773162/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Calochortus-splendens-(Splendid-Mariposa-Lily)?srchcr=sc61ab02a473e1f"
Acmispon glaber,Botanical Names: Lotus scopariusCommon Names: Common Deerweed,Perennial herb,1.6 - 3 ft tall3 ft wide,,"3.6"" - 69.6""","0.14"" - 2.77""",Full Sun,Very Low,Tolerates a wide variety of soils. Soil PH: 5.2 - 8.2," 34.4"" - 59.1"""," 57.9"" - 88.0""",Tolerates cold to 15° F,"0.38"" - 38.93""","-18"" - 7469""","Bee Gardens, Butterfly Gardens",Yellow,,10583,https://inaturalist-open-data.s3.amazonaws.com/photos/5247/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Acmispon-glaber-(Deerweed)?srchcr=sc61ab02a473e1f"
Eriogonum fasciculatum var. foliolosum,Common Names: California Buckwheat,Shrub,3 - 5 ft tall3 - 5 ft wide,,"4.0"" - 50.6""","0.14"" - 2.20""",,"Extremely Low, Very Low",Adaptable. Soil PH: 5 - 8," 34.9"" - 60.0"""," 60.5"" - 87.5""",Tolerates cold to 15° F,"0.43"" - 40.54""","2"" - 7232""","Groundcovers, Bank Stabilization, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Pink,  White,  Red",Very Easy,24092,https://inaturalist-open-data.s3.amazonaws.com/photos/3724391/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eriogonum-fasciculatum-var.-foliolosum-(Eastern-Mojave-Buckwheat)?srchcr=sc61ab02a473e1f"
Platystemon californicus,"Botanical Names: Platystemon californicus var. ciliatusCommon Names: California Creamcups, Cream Cups",Annual herb,0.7 - 1 ft tall6 in wide,,"4.3"" - 95.2""","0.13"" - 2.96""",Full Sun,Low,"Prefers sandy, gravelly soil. No clay. Soil PH: 5.8 - 8.2"," 24.6"" - 57.3"""," 45.5"" - 82.3""",Tolerates cold to 10° F,"0.01"" - 33.76""","-75"" - 11310""",Bee Gardens,"Cream,  White,  Yellow",,3022,https://inaturalist-open-data.s3.amazonaws.com/photos/3472/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Platystemon-californicus-(Creamcups)?srchcr=sc61ab02a473e1f"
Deinandra fasciculata,Botanical Names: Hemizonia fasciculata,Annual herb,3.3 ft tall2 ft wide,,"3.0"" - 34.5""","0.14"" - 1.89""",Full Sun,"Extremely Low, Very Low",Tolerates a variety of soils as long as drainage is good. Soil PH: 5.1 - 8.2," 39.6"" - 58.6"""," 62.0"" - 88.8""",Tolerates cold to 20° F,"0.74"" - 39.46""","-17"" - 6109""",Bee Gardens,Yellow,,3047,https://inaturalist-open-data.s3.amazonaws.com/photos/12786/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Deinandra-fasciculata-(Clustered-Tarweed)?srchcr=sc61ab02a473e1f"
Helianthus annuus,"Common Names: Common Sunflower, Hairy-leaved Sunflower",Annual Herb,5 - 10 ft tall2 ft wide,,"2.5"" - 58.9""","0.13"" - 2.53""",Full Sun,Low,"Adaptable, tolerant of sand, loam and clay. Soil PH: 5.4 - 8.6"," 27.4"" - 60.6"""," 52.0"" - 89.2""",Tolerates cold to 0° F,"0.69"" - 40.83""","-124"" - 8148""","Bird Gardens, Butterfly Gardens, Bee Gardens","Yellow,  Brown,  Orange",Moderately Easy,25522,https://inaturalist-open-data.s3.amazonaws.com/photos/142148850/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Helianthus-annuus-(Sunflower)?srchcr=sc61ab02a473e1f"
Ribes californicum,Common Names: California Gooseberry,Shrub,3 - 8 ft tall2 - 6 ft wide,,"4.8"" - 83.6""","0.15"" - 2.08""",Part Shade,Low,Tolerates sandy soil. Soil PH: 5.4 - 7.3," 32.2"" - 56.0"""," 51.3"" - 80.4""",Tolerates cold to 15° F,"0.23"" - 34.85""","-3"" - 7465""","Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Purple,  Yellow",Very Easy,1404,https://inaturalist-open-data.s3.amazonaws.com/photos/2112/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ribes-californicum-(Hillside-Gooseberry)?srchcr=sc61ab02a473e1f"
Lycium brevipes,Common Names: Baja Desert-thorn,Shrub,3 - 13.1 ft tall3 - 12 ft wide,,"2.4"" - 14.9""","0.23"" - 1.99""",Full Sun,Low,Typically sandy and rocky. Soil PH: 6.0 - 8.0," 44.6"" - 63.1"""," 68.3"" - 89.3""",Tolerates cold to 25° F,"1.79"" - 40.51""","-232"" - 4026""","Bank Stabilization, Hedges",Lavender,,377,https://inaturalist-open-data.s3.amazonaws.com/photos/1718972/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lycium-brevipes-(Baja-Desert-Thorn)?srchcr=sc61ab02a473e1f"
Pseudognaphalium microcephalum,"Botanical Names: Gnaphalium canescens ssp. microcephalum,Gnaphalium canescens ssp. microcephalum;Pseudognaphalium canescens ssp. microcephalum",Perennial herb,4 ft tall2 ft wide,,"8.1"" - 75.9""","0.15"" - 2.19""","Part Shade, Full Sun",Low,"Tolerant of a variety of soils including clay, shale, sand, etc.. Soil PH: 5.0 - 8.0"," 27.0"" - 56.6"""," 54.6"" - 80.6""",Tolerates cold to 10° F,"0.51"" - 30.77""","-1"" - 7376""","Butterfly Gardens, Bee Gardens","Cream,  White",,1612,https://inaturalist-open-data.s3.amazonaws.com/photos/2777851/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Pseudognaphalium-microcephalum-(Wright\'s-Cudweed)?srchcr=sc61ab02a473e1f"
Lupinus bicolor,"Common Names: Annual Lupine, Bicolored Lupine, Miniature Lupine Due To Its Diminutive Size","Perennial herb, Annual herb",0.26 - 1.3 ft tall1 ft wide,,"3.2"" - 115.2""","0.14"" - 2.96""",Full Sun,Low,Tolerates a variety of soils including very poor soil. Soil PH: 5.8 - 8.2," 29.6"" - 59.4"""," 50.4"" - 88.1""",Tolerates cold to 5° F,"0.01"" - 39.05""","0"" - 8996""","Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Purple,  White",,7129,https://inaturalist-open-data.s3.amazonaws.com/photos/17877490/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lupinus-bicolor-(Miniature-Lupine)?srchcr=sc61ab02a473e1f"
Antirrhinum nuttallianum,,"Perennial herb, Annual herb",1 - 3 ft tall1 - 3 ft wide,,"4.6"" - 34.0""","0.14"" - 1.96""",Full Sun,"Extremely Low, Very Low",Typically sandy and/or rocky. Soil PH: 6.0 - 8.0," 38.9"" - 57.1"""," 60.9"" - 85.0""",Tolerates cold to 20° F,"0.47"" - 35.91""","-3424"" - 5711""","Hummingbird Gardens, Bee Gardens","Purple,  White",,1554,https://inaturalist-open-data.s3.amazonaws.com/photos/18999927/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Antirrhinum-nuttallianum-(Nuttall\'s-Snapdragon)?srchcr=sc61ab02a473e1f"
Heterotheca grandiflora,Common Names: Telegraphweed,"Perennial herb, Annual herb",2.5 - 3.5 ft tall1.5 ft wide,,"3.2"" - 72.4""","0.15"" - 2.73""",Full Sun,Very Low,Not particular as to soil. Soil PH: 5.1 - 8.2," 39.7"" - 59.2"""," 59.8"" - 88.4""",Tolerates cold to 15° F,"0.47"" - 39.11""","-36"" - 6112""",Bee Gardens,Yellow,,5882,https://inaturalist-open-data.s3.amazonaws.com/photos/185866/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Heterotheca-grandiflora-(Telegraph-Weed)?srchcr=sc61ab02a473e1f"
Chaenactis glabriuscula,Common Names: Yellow Pincushion,Annual herb,1.6 ft tall.5 ft wide,,"3.1"" - 75.9""","0.13"" - 2.95""",Full Sun,Very Low,Typically sand or gravel. Soil PH: 5.9 - 8.1," 24.6"" - 58.9"""," 45.5"" - 88.9""",Tolerates cold to 10° F,"0.37"" - 39.24""","-109"" - 11310""",Bee Gardens,Yellow,Moderately Easy,1646,https://inaturalist-open-data.s3.amazonaws.com/photos/13336/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Chaenactis-glabriuscula-(Common-Yellow-Chaenactis)?srchcr=sc61ab02a473e1f"
Phacelia distans,"Botanical Names: Phacelia cinereaCommon Names: Distant Phacelia, Distant Scorpion-weed",Annual herb,0.16 - 2.6 ft tall2.6 ft wide,,"2.7"" - 56.9""","0.13"" - 3.21""",Full Sun,Very Low,Tolerates a variety of soils as long as drainage is good. Soil PH: 5.5 - 8.0," 25.4"" - 61.4"""," 50.3"" - 88.8""",Tolerates cold to 5° F,"0.39"" - 42.81""","-34"" - 9047""","Butterfly Gardens, Bee Gardens","Purple,  Lavender",Moderately Easy,5276,https://inaturalist-open-data.s3.amazonaws.com/photos/62472412/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Phacelia-distans-(Wild-Heliotrope)?srchcr=sc61ab02a473e1f"
Lupinus concinnus,"Common Names: Bajada Lupine, Scarlet Lupine",Annual Herb,0.33 - 1 ft tall,,"3.2"" - 59.1""","0.14"" - 3.08""",Full Sun,Low,"Typically found in open, sandy or gravelly areas"," 28.0"" - 59.7"""," 49.8"" - 88.1""",,"0.66"" - 40.77""","4"" - 11501""","Bird Gardens, Bee Gardens",Purple,Moderately Easy,1408,https://inaturalist-open-data.s3.amazonaws.com/photos/7634504/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lupinus-concinnus-(Elegant-Lupine)?srchcr=sc61ab02a473e1f"
Toxicodendron diversilobum,Common Names: Pacific Poison Oak,"Shrub, Vine",1.6 - 13 ft tall13 ft wide,,"7.0"" - 117.2""","0.15"" - 2.78""","Full Sun,  Part Shade",Low,Adaptable," 34.2"" - 56.5"""," 56.3"" - 80.6""",,"0.03"" - 28.41""","-3"" - 7187""",Bird Gardens,White,,22920,https://inaturalist-open-data.s3.amazonaws.com/photos/4299/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Toxicodendron-diversilobum-(Poisonoak)?srchcr=sc61ab02a5119b0"
Sambucus nigra,,"Shrub, Tree",13.1 - 30 ft tall10 - 20 ft wide,"['USDA Zone 3a:  to -39.9 °C (-40 °F)', 'USDA Zone 3b: to -37.2 °C (-35 °F)', 'USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)']","4.7"" - 153.6""","0.14"" - 5.67""",,Low,Tolerates most soils. Soil PH: 5.0 - 8.0," 24.3"" - 57.2"""," 47.0"" - 80.6""",Tolerates cold to 0° F,"0.01"" - 31.90""","-221"" - 10255""","Hedges, Deer Resistant, Bird Gardens, Bee Gardens","Cream,  White,  Purple,  Black",Very Easy,22164,https://inaturalist-open-data.s3.amazonaws.com/photos/81564732/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Sambucus-nigra-(Black-Elderberry)?srchcr=sc61ab02a5119b0"
Rubus ursinus,Common Names: California Blackberry,"Shrub, Vine",2 - 6 ft tall6 ft wide,,"6.7"" - 155.0""","0.15"" - 5.92""","Full Sun,  Part Shade,  Full Shade",Moderate - High,Tolerates a variety of soils. Soil PH: 5.0 - 8.0," 32.6"" - 56.6"""," 52.9"" - 81.0""",Tolerates cold to 0° F,"0.01"" - 29.14""","-22"" - 7419""","Groundcovers, Hedges, Bird Gardens",White,Very Easy,16528,https://inaturalist-open-data.s3.amazonaws.com/photos/61171020/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Rubus-ursinus-(Pacific-Blackberry)?srchcr=sc61ab02a5119b0"
Artemisia douglasiana,Common Names: California Mugwort,Perennial herb,8 ft tall4 ft wide,"['USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)']","4.0"" - 119.3""","0.13"" - 4.10""","Full Sun,  Part Shade,  Full Shade","Low, Moderate - High",Tolerant of a variety of soils as long as adequate moisture is available. Soil PH: 5.0 - 8.0," 23.0"" - 56.4"""," 45.7"" - 81.7""",Tolerates cold to 0° F,"0.09"" - 33.10""","-253"" - 11501""","Butterfly Gardens, Deer Resistant, Bird Gardens","Cream,  White,  Yellow",Very Easy,7868,https://inaturalist-open-data.s3.amazonaws.com/photos/5232/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Artemisia-douglasiana-(Douglas\'-Sagewort)?srchcr=sc61ab02a5119b0"
Salix exigua,"Common Names: Coyote Willow, Desert Willow, Narrowleaf Willow","Tree, Shrub",10 - 23 ft tall,,"2.4"" - 93.0""","0.14"" - 3.39""",Full Sun,Moderate - High,Tolerant of various soils as long as there is abundant moisture available. Soil PH: 5.5 - 8.0," 23.6"" - 61.6"""," 44.8"" - 88.8""",Tolerates cold to -10° F,"0.09"" - 42.81""","-198"" - 10807""","Bogs and Ponds, Bird Gardens, Butterfly Gardens, Bee Gardens","Yellow,  White",,5361,https://inaturalist-open-data.s3.amazonaws.com/photos/440710/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salix-exigua-(Sandbar-Willow)?srchcr=sc61ab02a5119b0"
Sporobolus airoides,,Grasses,3 - 4 ft tall2 ft wide,,"1.9"" - 29.4""","0.14"" - 2.73""",Full Sun,"Low, Moderate - High",Tolerates a variety of soils. Tolerates Sodic Soil. Soil PH: 7.0 - 9.0," 27.7"" - 61.6"""," 57.6"" - 90.7""",Tolerates cold to 5° F,"1.13"" - 49.06""","-271"" - 7712""","Groundcovers, Deer Resistant",Yellow,Very Easy,468,https://inaturalist-open-data.s3.amazonaws.com/photos/12197757/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Sporobolus-airoides-(Alkali-Sacaton)?srchcr=sc61ab02a5119b0"
Distichlis spicata,"Common Names: Desert Saltgrass, Inland Saltgrass, Marsh Spikegrass, Seashore Saltgrass",Grasses,1.1 - 1.6 ft tall,"['USDA Zone 3a:  to -39.9 °C (-40 °F)', 'USDA Zone 3b: to -37.2 °C (-35 °F)', 'USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)', 'USDA Zone 11: above 4.5 °C (40 °F)']","2.2"" - 76.3""","0.14"" - 2.47""",Full Sun,Moderate - High,"Prefers sand or sandstone. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 8.5"," 20.3"" - 61.4"""," 52.6"" - 90.7""",Tolerates cold to 0° F,"0.01"" - 49.06""","-229"" - 8881""","Groundcovers, Butterfly Gardens",Yellow,Moderately Easy,4412,https://inaturalist-open-data.s3.amazonaws.com/photos/54208942/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Distichlis-spicata-(Saltgrass)?srchcr=sc61ab02a5119b0"
Melica imperfecta,"Common Names: Little California Melic, Small Flower Melic, Smallflower Melicgrass",Grass,3.2 - 4 ft tall1 ft wide,,"4.8"" - 57.1""","0.14"" - 3.08""","Full Sun,  Part Shade",Very Low,Tolerates a variety of soils. Soil PH: 5.0 - 8.0," 25.3"" - 59.1"""," 49.0"" - 87.7""",Tolerates cold to 0° F,"0.47"" - 38.56""","0"" - 10807""","Deer Resistant, Butterfly Gardens","Yellow,  Brown",Very Easy,666,https://inaturalist-open-data.s3.amazonaws.com/photos/345176/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Melica-imperfecta-(Small-Flowered-Melica)?srchcr=sc61ab02a5119b0"
Stipa cernua,Botanical Names: Nassella cernua,Grasses,1.7 - 3.3 ft tall2 ft wide,,"6.0"" - 58.5""","0.14"" - 2.54""","Full Sun,  Part Shade",Very Low,Tolerates a variety of soils. Soil PH: 6.0 - 8.0," 34.6"" - 57.4"""," 61.9"" - 80.5""",Tolerates cold to 15° F,"0.34"" - 28.68""","-21"" - 5934""","Groundcovers, Deer Resistant",Brown,Moderately Easy,53,https://static.inaturalist.org/photos/1538622/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Stipa-cernua-(Needle-Grass)?srchcr=sc61ab02a5119b0"
