,Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
113,Calystegia macrostegia,"Common Names: Island False Bindweed, Island Morning-glory","Perennial herb, Shrub, Vine",1 ft tall20 - 30 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","3.7"" - 52.0""","0.14"" - 1.89""",Full Sun,Very Low,Typically sandy and/or rocky soil. Soil PH: 6.0 - 8.0," 34.9"" - 57.6"""," 58.2"" - 86.2""",Tolerates cold to 10° F,"0.60"" - 37.19""","-2547"" - 6450""","Groundcovers, Bee Gardens","Pink,  White",Very Easy,5558,https://inaturalist-open-data.s3.amazonaws.com/photos/3195315/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Calystegia-macrostegia-(Island-Morning-Glory)?srchcr=sc61b19639578e4"
114,Crocanthemum scoparium,"Botanical Names: Helianthemum scopariumCommon Names: Bisbee Peak Rushrose, Broom-rose, Common Sun-rose, Peak Rockrose, Peak Rush-rose",Shrub,1.5 ft tall1.5 ft wide,,"7.0"" - 66.9""","0.14"" - 2.67""",Full Sun,Very Low,Tolerates a variety of soils. Tolerates Serpentine Soil. Soil PH: 5.0 - 7.0," 33.5"" - 57.7"""," 58.6"" - 81.2""",Tolerates cold to 5° F,"0.01"" - 29.54""","-3814"" - 7419""",,Yellow,Moderately Easy,1666,https://inaturalist-open-data.s3.amazonaws.com/photos/11696/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Crocanthemum-scoparium-(Common-Sun-Rose)?srchcr=sc61b19639578e4"
115,Mirabilis laevis,"Botanical Names: Mirabilis californicaCommon Names: California Four O'clock, Wishbone Bush",Perennial herb,1 ft tall8 ft wide,,"2.9"" - 36.5""","0.14"" - 3.04""","Part Shade, Full Sun",Very Low,Variable soil depending on the location and setting. Soil PH: 5.0 - 8.0," 29.6"" - 63.6"""," 56.7"" - 88.8""",Tolerates cold to 25° F,"0.86"" - 42.79""","-100"" - 8177""",Groundcovers,"Lavender,  Purple,  White",Moderately Easy,7136,https://inaturalist-open-data.s3.amazonaws.com/photos/39221/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Mirabilis-laevis-(Desert-Wishbone-bush)?srchcr=sc61b19639578e4"
116,Pseudognaphalium californicum,"Botanical Names: Gnaphalium californicumCommon Names: California Everlasting, California Rabbit Tobacco, Green Everlasting, Ladies' Tobacco","Perennial herb, Annual herb",0.7 - 2.8 ft tall2 ft wide,,"4.1"" - 77.1""","0.14"" - 2.72""",Full Sun,"Very Low, Low,","Very tolerant of various soils including clay, shale, sand, etc.. Tolerates Saline Soil,Tolerates Serpentine Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 8.0"," 27.0"" - 59.5"""," 56.3"" - 87.8""",Tolerates cold to -15° F,"0.09"" - 38.67""","-253"" - 7620""","Butterfly Gardens, Bee Gardens","Cream,  White,  Green",Moderately Easy,6711,https://inaturalist-open-data.s3.amazonaws.com/photos/25474/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Pseudognaphalium-californicum-(California-Cudweed)?srchcr=sc61b19639578e4"
117,Hazardia squarrosa,"Common Names: Saw-toothed Goldenbush, Sawtooth Bristleweed",Shrub,4 - 8 ft tall8 ft wide,,"4.0"" - 74.1""","0.14"" - 2.82""","Full Sun,  Part Shade","Very Low, Low",Tolerates clay soil but is more commonly found on sandy soils. Soil PH: 6.0 - 8.0," 33.5"" - 56.8"""," 57.7"" - 87.2""",Tolerates cold to 5° F,"0.77"" - 38.18""","-30"" - 7419""",Bird Gardens,"Yellow,  Green",Very Easy,2346,https://inaturalist-open-data.s3.amazonaws.com/photos/5386878/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Hazardia-squarrosa-(Sawtooth-Goldenbush)?srchcr=sc61b19639578e4"
118,Oenothera elata,Common Names: Hooker's Evening-primrose,Perennial herb,5 ft tall3 ft wide,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)']","4.8"" - 86.0""","0.15"" - 3.85""","Part Shade, Full Sun",Low,Tolerates virtually any soil. Soil PH: 4.0 - 7.0," 10.8"" - 56.3"""," 34.1"" - 84.0""",Tolerates cold to -20° F,"0.05"" - 34.80""","-22"" - 14090""",,"Yellow,  Orange",Very Easy,4990,https://inaturalist-open-data.s3.amazonaws.com/photos/77296891/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Oenothera-elata-(Hooker\'s-Evening-Primrose)?srchcr=sc61b19639578e4"
119,Ericameria nauseosa,"Botanical Names: Chrysothamnus nauseosusCommon Names: Chamisa, Common Rabbitbrush, Gray Rabbitbrush",Shrub,3 - 9 ft tall3 - 9 ft wide,,"3.8"" - 133.8""","0.17"" - 4.47""",Full Sun,"Very Low, Low",Prefers sandy or decomposed granite soil. Tolerates Sodic Soil. Soil PH: 5.0 - 8.0," 10.8"" - 55.4"""," 34.1"" - 84.0""",Tolerates cold to -15° F,"0.48"" - 34.69""","38"" - 14090""","Hedges, Bird Gardens, Butterfly Gardens, Bee Gardens",Yellow,Very Easy,11356,https://inaturalist-open-data.s3.amazonaws.com/photos/12631/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Ericameria-nauseosa-(Rubber-Rubberbrush)?srchcr=sc61b19639578e4"
120,Clarkia bottae,"Common Names: Botta's Clarkia, Botta's Fairyfan, Punch-bowl Godetia, Punchbowl Godetia",Annual herb,3.3 ft tall.5 ft wide,,"7.6"" - 53.9""","0.14"" - 1.53""","Part Shade, Full Sun",Low,"Adaptable. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 6.0 - 8.0"," 35.2"" - 55.2"""," 58.4"" - 80.3""",Tolerates cold to -5° F,"0.77"" - 27.49""","13"" - 6109""","Butterfly Gardens, Bee Gardens","Pink,  Purple,  Lavender,  Red",,707,https://inaturalist-open-data.s3.amazonaws.com/photos/34602/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Clarkia-bottae-(Punch-Bowl-Godetia)?srchcr=sc61b19639578e4"
121,Salvia columbariae,Botanical Names: Salvia columbariae var. columbariaeCommon Names: Chia Sage,Annual herb,0.33 - 1.6 ft tall1 ft wide,,"2.4"" - 80.9""","0.14"" - 3.69""",Full Sun,"Extremely Low, Very Low","Prefers sandy, well drained soil but tolerates clay. Soil PH: 6.0 - 8.0"," 30.5"" - 61.4"""," 57.6"" - 90.2""",,"0.29"" - 48.21""","-253"" - 8103""","Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Purple",Moderately Easy,5964,https://inaturalist-open-data.s3.amazonaws.com/photos/5281/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Salvia-columbariae-(Chia)?srchcr=sc61b19639578e4"
122,Solanum xanti,Common Names: Chaparral Nightshade,"Shrub, Perennial herb",2 - 4 ft tall2 - 4 ft wide,,"5.2"" - 117.2""","0.14"" - 3.15""","Full Sun,  Part Shade",Very Low,"Tolerates many soils, sandy, loamy or clay. Soil PH: 6.0 - 8.0"," 25.5"" - 56.4"""," 50.5"" - 80.6""",Tolerates cold to 5° F,"0.36"" - 29.63""","-3"" - 9752""","Deer Resistant, Bird Gardens","Blue,  Purple",Moderately Easy,3122,https://inaturalist-open-data.s3.amazonaws.com/photos/39223/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Solanum-xanti-(Purple-Nightshade)?srchcr=sc61b19639578e4"
123,Rhus aromatica,"Botanical Names: Rhus trilobata,Rhus trilobata var. simplicifoliaCommon Names: Several Others, Skunkbrush, Skunkbush Sumac, Squawbush",Shrub,1.6 - 8 ft tall8 ft wide,,"4.5"" - 84.5""","0.15"" - 3.91""",Full Sun,Low,Prefers sandy soil. Soil PH: 6.0 - 8.0," 18.4"" - 56.7"""," 39.7"" - 83.7""",Tolerates cold to -15° F,"0.09"" - 36.82""","7"" - 10940""","Hedges, Deer Resistant, Bird Gardens","Cream,  Yellow",Moderately Easy,14307,https://inaturalist-open-data.s3.amazonaws.com/photos/96541/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Rhus-aromatica-(Fragrant-Sumac)?srchcr=sc61b19639578e4"
124,Verbena lasiostachys,"Common Names: Common Verbena, Western Verbena, Western Vervain",Perennial herb,2.6 ft tall3 ft wide,,"5.7"" - 86.0""","0.14"" - 2.48""",Full Sun,Moderate - High,Tolerates a variety of soils including sand and clay as long as adequate moisture is present. Soil PH: 6.0 - 8.0," 26.0"" - 56.4"""," 51.0"" - 84.1""",Tolerates cold to -20° F,"0.09"" - 35.28""","-253"" - 8643""","Hummingbird Gardens, Bird Gardens, Bee Gardens","Blue,  Lavender,  Purple",moderately easy,2872,https://inaturalist-open-data.s3.amazonaws.com/photos/5355/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Verbena-lasiostachys-(Vervain)?srchcr=sc61b19639578e4"
125,Claytonia perfoliata,"Botanical Names: Montia perfiolataCommon Names: Miners Lettuce, Minerslettuce",Annual herb,1 - 1.3 ft tall1 ft wide,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)']","5.6"" - 121.3""","0.15"" - 3.46""",Part Shade,"Low, Moderate - High",Tolerates a variety of soils as long as winter moisture is provided.," 30.6"" - 57.4"""," 53.9"" - 84.2""",,"0.01"" - 34.96""","-247"" - 7863""",Groundcovers,White,,15741,https://inaturalist-open-data.s3.amazonaws.com/photos/12032138/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Claytonia-perfoliata-(Miner\'s-Lettuce)?srchcr=sc61b19639578e4"
126,Lupinus truncatus,"Common Names: Blunt-leaved Lupine, Truncate-leaf Lupine",Annual Herb,1 - 1.6 ft tall1 ft wide,,"4.9"" - 46.1""","0.14"" - 2.55""","Full Sun,  Part Shade",Very Low,Adaptable. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 40.1"" - 58.6"""," 58.8"" - 87.2""",Tolerates cold to 5° F,"0.47"" - 38.04""","-14"" - 6112""","Bird Gardens, Bee Gardens","Lavender,  Purple,  Pink",,1477,https://static.inaturalist.org/photos/3146756/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Lupinus-truncatus-(Collared-Annual-Lupine)?srchcr=sc61b19639578e4"
127,Aristida purpurea,"Common Names: Purple Three-awn, Purple Threeawn",Grasses,1.6 - 3.3 ft tall2 ft wide,,"2.6"" - 34.1""","0.15"" - 3.28""",Full Sun,Very Low,Tolerates a variety of soils. Soil PH: 6.5 - 7.5," 32.9"" - 63.2"""," 61.8"" - 88.8""",Tolerates cold to -20° F,"1.19"" - 42.80""","92"" - 7251""",Groundcovers,"Cream,  Purple,  Red,  Brown",Very Easy,2035,https://inaturalist-open-data.s3.amazonaws.com/photos/6552835/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Aristida-purpurea-(Purple-Three-Awn)?srchcr=sc61b19639578e4"
128,Amorpha californica,,Shrub,10 ft tall6 ft wide,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","6.0"" - 68.9""","0.15"" - 2.89""",Part Shade,Very Low,Tolerates sand. Soil PH: 6.0 - 8.0," 32.5"" - 58.2"""," 59.0"" - 86.9""",Tolerates cold to 0° F,"0.43"" - 37.48""","9"" - 8222""","Hedges, Deer Resistant, Butterfly Gardens",Purple,,598,https://inaturalist-open-data.s3.amazonaws.com/photos/18747/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Amorpha-californica-(California-False-Indigo)?srchcr=sc61b19639578e4"
129,Phacelia minor,Common Names: Wild Canterbury Bells,Annual herb,0.7 - 2 ft tall1 - 2 ft wide,,"4.0"" - 46.1""","0.19"" - 2.95""",Full Sun,Very Low,Usually found in grainy soils such as desert sand or decomposed granite," 36.9"" - 59.1"""," 63.3"" - 87.5""",Tolerates cold to 15° F,"0.99"" - 38.66""","11"" - 6109""","Butterfly Gardens, Bee Gardens","Blue,  Lavender",,2414,https://inaturalist-open-data.s3.amazonaws.com/photos/25162/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Phacelia-minor-(California-Bluebell)?srchcr=sc61b19639578e4"
130,Juncus acutus,,"Grass, Shrub",5 ft tall5 ft wide,,"2.7"" - 36.4""","0.15"" - 1.38""",Full Sun,Moderate - High,"Tolerates almost any soil as long as adequate moisture is present. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 9.0"," 42.1"" - 60.1"""," 62.6"" - 88.8""",Tolerates cold to 25° F,"0.92"" - 40.20""","-142"" - 3968""","Bogs and Ponds, Groundcovers",Brown,Very Easy,2569,https://inaturalist-open-data.s3.amazonaws.com/photos/3013641/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Juncus-acutus-(Spiny-Rush)?srchcr=sc61b19639578e4"
131,Calochortus splendens,,Perennial herb,2 ft tall6 in wide,,"4.4"" - 61.3""","0.15"" - 3.65""","Full Sun,  Part Shade",Very Low,"Found in sandy or clay soils near the coast, or gravelly soils inland"," 26.3"" - 61.4"""," 52.4"" - 88.8""",Tolerates cold to 10° F,"0.80"" - 42.82""","2"" - 10070""",,"Pink,  Purple,  Lavender,  Blue",Moderately Easy,2949,https://inaturalist-open-data.s3.amazonaws.com/photos/69773162/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Calochortus-splendens-(Splendid-Mariposa-Lily)?srchcr=sc61b19639578e4"
132,Clematis lasiantha,Common Names: Pipestem Clematis,"Vine, Perennial herb",15 ft tall,,"7.6"" - 82.6""","0.15"" - 2.78""","Full Sun,  Part Shade,  Full Shade",Very Low,Tolerates a variety of soils including clay and sand. Soil PH: 5.4 - 7.2," 33.4"" - 55.2"""," 53.4"" - 80.4""",Tolerates cold to 15° F,"0.40"" - 28.76""","1"" - 10032""",Deer Resistant,"Cream,  White",Very Easy,2799,https://inaturalist-open-data.s3.amazonaws.com/photos/35793724/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Clematis-lasiantha-(Chaparral-Clematis)?srchcr=sc61b19639578e4"
133,Acmispon glaber,Botanical Names: Lotus scopariusCommon Names: Common Deerweed,Perennial herb,1.6 - 3 ft tall3 ft wide,,"3.6"" - 69.6""","0.14"" - 2.77""",Full Sun,Very Low,Tolerates a wide variety of soils. Soil PH: 5.2 - 8.2," 34.4"" - 59.1"""," 57.9"" - 88.0""",Tolerates cold to 15° F,"0.38"" - 38.93""","-18"" - 7469""","Bee Gardens, Butterfly Gardens",Yellow,,10635,https://inaturalist-open-data.s3.amazonaws.com/photos/5247/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Acmispon-glaber-(Deerweed)?srchcr=sc61b19639578e4"
134,Eriogonum fasciculatum var. foliolosum,Common Names: California Buckwheat,Shrub,3 - 5 ft tall3 - 5 ft wide,,"4.0"" - 50.6""","0.14"" - 2.20""",,"Extremely Low, Very Low",Adaptable. Soil PH: 5 - 8," 34.9"" - 60.0"""," 60.5"" - 87.5""",Tolerates cold to 15° F,"0.43"" - 40.54""","2"" - 7232""","Groundcovers, Bank Stabilization, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Pink,  White,  Red",Very Easy,24163,https://inaturalist-open-data.s3.amazonaws.com/photos/3724391/small.JPG,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Eriogonum-fasciculatum-var.-foliolosum-(Eastern-Mojave-Buckwheat)?srchcr=sc61b19639578e4"
135,Platystemon californicus,"Botanical Names: Platystemon californicus var. ciliatusCommon Names: California Creamcups, Cream Cups",Annual herb,0.7 - 1 ft tall6 in wide,,"4.3"" - 95.2""","0.13"" - 2.96""",Full Sun,Low,"Prefers sandy, gravelly soil. No clay. Soil PH: 5.8 - 8.2"," 24.6"" - 57.3"""," 45.5"" - 82.3""",Tolerates cold to 10° F,"0.01"" - 33.76""","-75"" - 11310""",Bee Gardens,"Cream,  White,  Yellow",,3022,https://inaturalist-open-data.s3.amazonaws.com/photos/3472/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Platystemon-californicus-(Creamcups)?srchcr=sc61b19639578e4"
136,Phacelia tanacetifolia,Common Names: Tansy-leafed Phacelia,Annual herb,2 - 4 ft tall1.5 ft wide,,"3.4"" - 50.8""","0.12"" - 2.33""",Full Sun,Very Low,Prefers sandy soil. Soil PH: 6.0 - 7.5," 35.8"" - 59.9"""," 58.3"" - 88.3""",Tolerates cold to 10° F,"0.47"" - 39.44""","3"" - 8167""","Deer Resistant, Butterfly Gardens, Bee Gardens",Blue,Moderately Easy,6684,https://inaturalist-open-data.s3.amazonaws.com/photos/13147/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Phacelia-tanacetifolia-(Lacy-Phacelia)?srchcr=sc61b19639578e4"
137,Deinandra fasciculata,Botanical Names: Hemizonia fasciculata,Annual herb,3.3 ft tall2 ft wide,,"3.0"" - 34.5""","0.14"" - 1.89""",Full Sun,"Extremely Low, Very Low",Tolerates a variety of soils as long as drainage is good. Soil PH: 5.1 - 8.2," 39.6"" - 58.6"""," 62.0"" - 88.8""",Tolerates cold to 20° F,"0.74"" - 39.46""","-17"" - 6109""",Bee Gardens,Yellow,,3048,https://inaturalist-open-data.s3.amazonaws.com/photos/12786/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Deinandra-fasciculata-(Clustered-Tarweed)?srchcr=sc61b19639578e4"
138,Delphinium cardinale,,Perennial herb,3 - 6.6 ft tall1 - 2 ft wide,,"9.7"" - 44.9""","0.17"" - 2.33""","Full Sun,  Part Shade",Very Low,"Best in rocky or sandy soil, but will tolerate richer soils. Often found on chert or shale talus slopes. Soil PH: 5.0 - 8.0"," 39.6"" - 55.7"""," 64.5"" - 80.7""",Tolerates cold to 10° F,"0.88"" - 32.40""","40"" - 6188""","Hummingbird Gardens, Deer Resistant, Bird Gardens, Bee Gardens","Red,  Yellow",Moderately Easy,1059,https://inaturalist-open-data.s3.amazonaws.com/photos/3241670/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Delphinium-cardinale-(Scarlet-Larkspur)?srchcr=sc61b19639578e4"
139,Silene laciniata,"Common Names: Indian-pink, Mexican Campion, Mexican Catchfly, Mexican-pink","Annual herb, Perennial herb",2.3 ft tall3 ft wide,"['USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)']","9.8"" - 127.1""","0.14"" - 3.60""",Part Shade,Very Low,Prefers good drainage. Soil PH: 5.4 - 7.5," 24.6"" - 56.4"""," 45.5"" - 80.7""",Tolerates cold to 10° F,"0.03"" - 29.25""","-58"" - 11310""","Deer Resistant, Hummingbird Gardens",Red,Moderately Easy,5384,https://inaturalist-open-data.s3.amazonaws.com/photos/16968/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Silene-laciniata-(Cardinal-Catchfly)?srchcr=sc61b19639578e4"
140,Adiantum jordanii,Common Names: California Maidenhair Fern,Fern,1.6 ft tall2 - 3 ft wide,,"6.3"" - 72.8""","0.14"" - 2.33""","Full Shade, Part Shade",Moderate - High,Tolerates sand or clay soils. Soil PH: 5.5 - 8.2," 35.3"" - 57.2"""," 58.8"" - 80.8""",Tolerates cold to 15° F,"0.05"" - 31.82""","-293"" - 4907""",Deer Resistant,,,3869,https://inaturalist-open-data.s3.amazonaws.com/photos/10294/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Adiantum-jordanii-(California-Maiden-Hair-Fern)?srchcr=sc61b19639578e4"
141,Polypodium californicum,,Fern,1.5 ft tall3 ft wide,,"6.1"" - 122.0""","0.14"" - 3.60""","Full Shade, Part Shade","Low, Moderate - High,",Tolerates a wide variety of soils as long as adequate moisture is present. Tolerates Serpentine Soil. Soil PH: 5.7 - 7.5," 32.0"" - 57.3"""," 57.9"" - 80.8""",Tolerates cold to 15° F,"0.29"" - 30.51""","-66"" - 7419""","Groundcovers, Deer Resistant",,Moderately Easy,3174,https://inaturalist-open-data.s3.amazonaws.com/photos/11837/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Polypodium-californicum-(California-Polypody)?srchcr=sc61b19639578e4"
142,Claytonia parviflora,"Common Names: Littleleaf Springbeauty, Miners' Lettuce",Annual herb,1 ft tall1 ft wide,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)']","2.6"" - 93.5""","0.14"" - 3.15""","Part Shade, Full Sun",Low,"Prefers the moist, loamy clay of a stream bank. Soil PH: 5.2 - 7.3"," 27.8"" - 58.4"""," 54.0"" - 87.9""",Tolerates cold to 5° F,"0.09"" - 37.70""","-181"" - 8567""",,"White,  Pink",Moderately Easy,1493,https://inaturalist-open-data.s3.amazonaws.com/photos/62985329/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Claytonia-parviflora-(Streambank-Springbeauty)?srchcr=sc61b19639578e4"
143,Helianthus annuus,"Common Names: Common Sunflower, Hairy-leaved Sunflower",Annual Herb,5 - 10 ft tall2 ft wide,,"2.5"" - 58.9""","0.13"" - 2.53""",Full Sun,Low,"Adaptable, tolerant of sand, loam and clay. Soil PH: 5.4 - 8.6"," 27.4"" - 60.6"""," 52.0"" - 89.2""",Tolerates cold to 0° F,"0.69"" - 40.83""","-124"" - 8148""","Bird Gardens, Butterfly Gardens, Bee Gardens","Yellow,  Brown,  Orange",Moderately Easy,25590,https://inaturalist-open-data.s3.amazonaws.com/photos/142148850/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Helianthus-annuus-(Sunflower)?srchcr=sc61b19639578e4"
144,Gutierrezia californica,Common Names: San Joaquin Snakeweed,"Perennial herb, Annual herb, Shrub",1 - 2 ft tall3 ft wide,,"3.0"" - 37.4""","0.12"" - 4.34""",Full Sun,Very Low,"Prefers rocky, gravelly or sandy soil, such as decomposed granite. Soil PH: 6.5 - 7.5"," 33.4"" - 59.1"""," 55.5"" - 87.9""",Tolerates cold to 15° F,"0.80"" - 38.53""","5"" - 9700""",Bee Gardens,"Yellow,  Red",,503,https://inaturalist-open-data.s3.amazonaws.com/photos/64337/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Gutierrezia-californica-(California-Matchweed)?srchcr=sc61b19639578e4"
145,Ceanothus oliganthus var. oliganthus,,Shrub,10 ft tall12 ft wide,,"11.5"" - 154.9""","0.18"" - 1.88""","Part Shade, Full Sun",Very Low,Tolerates both heavy and sandy soils. Soil PH: 6.0 - 8.0," 39.4"" - 55.1"""," 62.3"" - 81.6""",Tolerates cold to 15° F,"0.79"" - 32.12""","36"" - 6201""","Bank Stabilization, Hedges, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Purple",Moderately Easy,1056,https://inaturalist-open-data.s3.amazonaws.com/photos/37699639/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Ceanothus-oliganthus-var.-oliganthus-(Hairy-Ceanothus)?srchcr=sc61b19639578e4"
146,Ribes californicum,Common Names: California Gooseberry,Shrub,3 - 8 ft tall2 - 6 ft wide,,"4.8"" - 83.6""","0.15"" - 2.08""",Part Shade,Low,Tolerates sandy soil. Soil PH: 5.4 - 7.3," 32.2"" - 56.0"""," 51.3"" - 80.4""",Tolerates cold to 15° F,"0.23"" - 34.85""","-3"" - 7465""","Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Purple,  Yellow",Very Easy,1416,https://inaturalist-open-data.s3.amazonaws.com/photos/2112/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Ribes-californicum-(Hillside-Gooseberry)?srchcr=sc61b19639578e4"
147,Pseudognaphalium microcephalum,"Botanical Names: Gnaphalium canescens ssp. microcephalum,Gnaphalium canescens ssp. microcephalum;Pseudognaphalium canescens ssp. microcephalum",Perennial herb,4 ft tall2 ft wide,,"8.1"" - 75.9""","0.15"" - 2.19""","Part Shade, Full Sun",Low,"Tolerant of a variety of soils including clay, shale, sand, etc.. Soil PH: 5.0 - 8.0"," 27.0"" - 56.6"""," 54.6"" - 80.6""",Tolerates cold to 10° F,"0.51"" - 30.77""","-1"" - 7376""","Butterfly Gardens, Bee Gardens","Cream,  White",,1620,https://inaturalist-open-data.s3.amazonaws.com/photos/2777851/small.JPG,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Pseudognaphalium-microcephalum-(Wright\'s-Cudweed)?srchcr=sc61b19639578e4"
148,Lupinus bicolor,"Common Names: Annual Lupine, Bicolored Lupine, Miniature Lupine Due To Its Diminutive Size","Perennial herb, Annual herb",0.26 - 1.3 ft tall1 ft wide,,"3.2"" - 115.2""","0.14"" - 2.96""",Full Sun,Low,Tolerates a variety of soils including very poor soil. Soil PH: 5.8 - 8.2," 29.6"" - 59.4"""," 50.4"" - 88.1""",Tolerates cold to 5° F,"0.01"" - 39.05""","0"" - 8996""","Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Purple,  White",,7126,https://inaturalist-open-data.s3.amazonaws.com/photos/17877490/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Lupinus-bicolor-(Miniature-Lupine)?srchcr=sc61b19639578e4"
